================ Training Loss (Sun Sep 21 20:17:24 2025) ================
(Train - epoch: 1 | iters: 5/106 | time: 0.189) l_pix: 1.763055 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000084 l_landmark: 1231.380737 l_tot: 1233.143921 
(Train - epoch: 1 | iters: 10/106 | time: 0.184) l_pix: 1.924980 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000039 l_landmark: 574.945984 l_tot: 576.871033 
(Train - epoch: 1 | iters: 15/106 | time: 0.180) l_pix: 1.858031 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000015 l_landmark: 194.189362 l_tot: 196.047409 
(Train - epoch: 1 | iters: 20/106 | time: 0.183) l_pix: 1.451535 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000006 l_poly: 0.000036 l_landmark: 183.779388 l_tot: 185.230957 
(Train - epoch: 1 | iters: 25/106 | time: 0.183) l_pix: 1.346932 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000013 l_landmark: 147.182541 l_tot: 148.529495 
(Train - epoch: 1 | iters: 30/106 | time: 0.198) l_pix: 1.319711 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000020 l_landmark: 152.483047 l_tot: 153.802780 
(Train - epoch: 1 | iters: 35/106 | time: 0.196) l_pix: 1.152058 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000005 l_poly: 0.000038 l_landmark: 120.463242 l_tot: 121.615349 
(Train - epoch: 1 | iters: 40/106 | time: 0.191) l_pix: 1.189975 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000019 l_landmark: 166.535400 l_tot: 167.725388 
(Train - epoch: 1 | iters: 45/106 | time: 0.228) l_pix: 1.162831 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000011 l_landmark: 234.253235 l_tot: 235.416077 
(Train - epoch: 1 | iters: 50/106 | time: 0.190) l_pix: 1.201566 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000005 l_poly: 0.000037 l_landmark: 105.881523 l_tot: 107.083138 
(Train - epoch: 1 | iters: 55/106 | time: 0.192) l_pix: 1.215319 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000005 l_poly: 0.000030 l_landmark: 129.564423 l_tot: 130.779770 
(Train - epoch: 1 | iters: 60/106 | time: 0.190) l_pix: 1.068226 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000027 l_landmark: 103.060066 l_tot: 104.128326 
(Train - epoch: 1 | iters: 65/106 | time: 0.189) l_pix: 1.071063 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000016 l_landmark: 199.499359 l_tot: 200.570435 
(Train - epoch: 1 | iters: 70/106 | time: 0.186) l_pix: 1.055920 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000019 l_landmark: 292.313751 l_tot: 293.369690 
(Train - epoch: 1 | iters: 75/106 | time: 0.220) l_pix: 1.090764 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000011 l_landmark: 87.034813 l_tot: 88.125587 
(Train - epoch: 1 | iters: 80/106 | time: 0.186) l_pix: 1.145100 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000018 l_landmark: 271.722076 l_tot: 272.867218 
(Train - epoch: 1 | iters: 85/106 | time: 0.189) l_pix: 1.109412 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000027 l_landmark: 165.932388 l_tot: 167.041824 
(Train - epoch: 1 | iters: 90/106 | time: 0.186) l_pix: 1.086984 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000014 l_landmark: 69.844620 l_tot: 70.931618 
(Train - epoch: 1 | iters: 95/106 | time: 0.194) l_pix: 1.049195 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000011 l_landmark: 251.192596 l_tot: 252.241806 
(Train - epoch: 1 | iters: 100/106 | time: 0.192) l_pix: 1.087464 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000017 l_landmark: 77.140121 l_tot: 78.227600 
(Train - epoch: 1 | iters: 105/106 | time: 0.184) l_pix: 1.097880 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000010 l_landmark: 152.339432 l_tot: 153.437332 
